May 17 2020 11:50:41 FW00 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 128.89.107.14 to 15.50.70.183 on interface GigabitEthernet0/1	0
May 17 2020 11:50:42 FW20 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 26.194.219.128 to 62.7.202.91 on interface GigabitEthernet0/2	0
May 17 2020 11:50:42 FW22 : %ASA-3-319001: Acknowledge for arp update for IP address 54.131.40.246 not received.	0
May 17 2020 11:50:42 FW04 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/0: 159.8.246.145/21855 to laddr GigabitEthernet0/5: 192.168.78.115/55316	0
May 17 2020 11:50:42 FW02 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 53.198.13.60 to 211.139.178.91 on interface GigabitEthernet0/1	0
May 17 2020 11:50:42 FW12 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/2 , error code = Not responding , will try again.	0
May 17 2020 11:50:42 FW07 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	0
May 17 2020 11:50:42 FW09 : %ASA-6-611101: User authentication succeeded: IP, 215.135.150.195 : Uname: user6	0
May 17 2020 11:50:42 FW04 : %ASA-1-101001: (Primary) Failover cable OK.	0
May 17 2020 11:50:42 FW01 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 99.176.69.13 to 214.99.129.65 on interface GigabitEthernet0/3	0
May 17 2020 11:50:43 FW04 : %ASA-4-716022: Unable to connect to proxy server.	0
May 17 2020 11:50:43 FW05 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 122.86.101.31 to 185.183.204.174 on interface GigabitEthernet0/0	0
May 17 2020 11:50:43 FW12 : %ASA-6-605005: Login permitted from 112.29.25.16/37440 to GigabitEthernet0/2:206.49.3.219/SMTP for user user2	0
May 17 2020 11:50:43 FW25 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/0 changed state to up	0
May 17 2020 11:50:43 FW15 : %ASA-7-718021: Sent KEEPALIVE response to 45.41.148.179	0
May 17 2020 11:50:43 FW07 : %ASA-5-611103: User logged out: Uname: user17	0
May 17 2020 11:50:43 FW00 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 6.177.242.76 to 88.6.197.89 on interface GigabitEthernet0/3	0
May 17 2020 11:50:43 FW12 : %ASA-6-303002: FTP connection from GigabitEthernet0/1:85.185.64.241/3975 to GigabitEthernet0/1: 164.109.100.80/64628 , user user3 action file filename	0
May 17 2020 11:50:43 FW00 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 218.5.112.35 to 154.245.8.42 on interface GigabitEthernet0/4	0
May 17 2020 11:50:44 FW12 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/3: 198.237.28.2/28694 to laddr GigabitEthernet0/1: 172.29.106.46/18295	0
May 17 2020 11:50:44 FW05 : %ASA-5-502111: New group policy added: name: acl_int Type: internal	0
May 17 2020 11:50:44 FW02 : %ASA-7-718021: Sent KEEPALIVE response to 166.238.45.25	0
May 17 2020 11:50:44 FW00 : %ASA-4-400040: IPS:6102 RPC Dump 174.161.253.187 to 153.50.169.136 on interface GigabitEthernet0/1	0
May 17 2020 11:50:44 FW21 : %ASA-4-400040: IPS:6102 RPC Dump 21.127.219.110 to 200.228.185.217 on interface GigabitEthernet0/1	0
May 17 2020 11:50:44 FW20 : %ASA-6-303002: FTP connection from GigabitEthernet0/1:192.172.83.147/38184 to GigabitEthernet0/4: 57.229.240.172/46723 , user user12 action file filename	0
May 17 2020 11:50:45 FW07 : %ASA-5-502111: New group policy added: name: acl_int Type: internal	0
May 17 2020 11:50:45 FW23 : %ASA-7-718021: Sent KEEPALIVE response to 36.67.162.198	0
May 17 2020 11:50:45 FW01 : %ASA-5-611103: User logged out: Uname: user15	0
May 17 2020 11:50:45 FW18 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/4 changed state to up	0
May 17 2020 11:50:45 FW21 : %ASA-6-303002: FTP connection from GigabitEthernet0/2:195.117.127.146/27096 to GigabitEthernet0/0: 221.68.72.59/48430 , user user1 action file filename	0
May 17 2020 11:50:45 FW05 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 194.51.254.218 to 212.68.182.118 on interface GigabitEthernet0/3	0
May 17 2020 11:50:45 FW13 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 167.44.217.14 to 95.141.15.71 on interface GigabitEthernet0/0	0
May 17 2020 11:50:45 FW21 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 159.38.170.46 to 148.190.249.116 on interface GigabitEthernet0/3	0
May 17 2020 11:50:46 FW13 : %ASA-7-713052: User user17 authenticated.	0
May 17 2020 11:50:46 FW20 : %ASA-6-109001: Auth start for user user11 from 172.28.20.253/37343 to 216.121.222.184/20222	0
May 17 2020 11:50:46 FW10 : %ASA-4-400034: IPS:6050 DNS HINFO Request 210.105.133.238 to 215.100.103.122 on interface GigabitEthernet0/2	0
May 17 2020 11:50:46 FW16 : %ASA-4-733102: Threat-detection adds host 26.74.161.200 to shun list	1
May 17 2020 11:50:46 FW23 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	0
May 17 2020 11:50:46 FW23 : %ASA-4-400040: IPS:6102 RPC Dump 122.95.46.175 to 97.55.7.65 on interface GigabitEthernet0/1	0
May 17 2020 11:50:46 FW08 : %ASA-4-400037: IPS:6053 DNS Request for All Records 54.182.78.192 to 143.19.174.11 on interface GigabitEthernet0/4	0
May 17 2020 11:50:46 FW05 : %ASA-4-400014: IPS:2004 ICMP Echo Request 156.113.116.10 to 16.237.55.81 on interface GigabitEthernet0/1	0
